true_label,prob,pred,inference_time_ms
0,0.088845,0,0.0005
0,0.084867,0,0.0006
0,0.226185,0,0.0006
0,0.183482,0,0.0006
0,0.152204,0,0.0006
0,0.128501,0,0.0006
1,0.052261,0,0.0005
0,0.095406,0,0.0005
0,0.208016,0,0.0005
0,0.152265,0,0.0006
0,0.107902,0,0.0006
0,0.626271,1,0.0006
1,0.311626,0,0.0006
0,0.140695,0,0.0006
0,0.595806,1,0.0006
0,0.009194,0,0.0005
0,0.149166,0,0.0005
0,0.367323,0,0.0006
0,0.31134,0,0.0005
1,0.037745,0,0.0006
1,0.03152,0,0.0005
0,0.1751,0,0.0006
1,0.23405,0,0.0006
1,0.205459,0,0.0005
0,0.214534,0,0.0006
0,0.142756,0,0.0006
0,0.080899,0,0.0006
1,0.038796,0,0.0006
1,0.115038,0,0.0005
0,0.09052,0,0.0005
0,0.080313,0,0.0005
0,0.116612,0,0.0005
0,0.136793,0,0.0006
1,0.048006,0,0.0005
1,0.064315,0,0.0006
0,0.157948,0,0.0005
1,0.595017,1,0.0006
1,0.87955,1,0.0006
0,0.521233,1,0.0006
0,0.34326,0,0.0006
1,0.220299,0,0.0006
1,0.113768,0,0.0006
0,0.146683,0,0.0006
0,0.006511,0,0.0006
0,0.055587,0,0.0005
0,0.059346,0,0.0005
0,0.091917,0,0.0006
0,0.046708,0,0.0006
1,0.029305,0,0.0005
0,0.068773,0,0.0006
0,0.078594,0,0.0005
0,0.108609,0,0.0005
0,0.073828,0,0.0005
0,0.086269,0,0.0006
0,0.058182,0,0.0006
1,0.071187,0,0.0006
0,0.110225,0,0.0006
0,0.206641,0,0.0005
0,0.196687,0,0.0006
0,0.308182,0,0.0006
0,0.349192,0,0.0006
1,0.098676,0,0.0006
1,0.105159,0,0.0006
0,0.369823,0,0.0006
1,0.199323,0,0.0006
0,0.435195,0,0.0005
0,0.668008,1,0.0005
1,0.699976,1,0.0006
0,0.253971,0,0.0005
0,0.287212,0,0.0005
0,0.241044,0,0.0005
1,0.032123,0,0.0005
0,0.175186,0,0.0005
0,0.181934,0,0.0005
0,0.329201,0,0.0005
0,0.118781,0,0.0006
1,0.102151,0,0.0005
0,0.298822,0,0.0006
0,0.415073,0,0.0005
0,0.562737,1,0.0006
0,0.486784,0,0.0005
0,0.198224,0,0.0005
0,0.089126,0,0.0006
1,0.028717,0,0.0005
0,0.19545,0,0.0006
1,0.194247,0,0.0005
0,0.234851,0,0.0005
1,0.55819,1,0.0006
1,0.743913,1,0.0006
1,0.176382,0,0.0005
1,0.222294,0,0.0005
1,0.966501,1,0.0006
1,0.859504,1,0.0006
1,0.945438,1,0.0006
1,0.957495,1,0.0006
0,0.734341,1,0.0006
0,0.209327,0,0.0005
1,0.196366,0,0.0005
1,0.439379,0,0.0006
1,0.134156,0,0.0006
1,0.678456,1,0.0006
1,0.994159,1,0.0005
1,0.982786,1,0.0006
1,0.628524,1,0.0005
1,0.750623,1,0.0005
1,0.979002,1,0.0006
1,0.940898,1,0.0005
1,0.708662,1,0.0005
1,0.983039,1,0.0006
1,0.958319,1,0.0006
1,0.723854,1,0.0006
1,0.266149,0,0.0006
1,0.311277,0,0.0005
1,0.290898,0,0.0006
0,0.444696,0,0.0005
1,0.350432,0,0.0006
1,0.358028,0,0.0006
0,0.171649,0,0.0005
1,0.214412,0,0.0006
0,0.310848,0,0.0005
1,0.407144,0,0.0006
0,0.374169,0,0.0006
0,0.337087,0,0.0006
0,0.242033,0,0.0005
1,0.119205,0,0.0005
1,0.088558,0,0.0006
0,0.149722,0,0.0005
0,0.150932,0,0.0005
1,0.302922,0,0.0006
1,0.371801,0,0.0005
0,0.280026,0,0.0005
0,0.135379,0,0.0005
1,0.067426,0,0.0005
0,0.121705,0,0.0006
1,0.109422,0,0.0005
1,0.080237,0,0.0005
1,0.060611,0,0.0005
0,0.149385,0,0.0005
1,0.069851,0,0.0006
1,0.08316,0,0.0006
0,0.87364,1,0.0006
1,0.970557,1,0.0005
1,0.932222,1,0.0006
1,0.875754,1,0.0005
1,0.812633,1,0.0005
0,0.668457,1,0.0006
1,0.160516,0,0.0006
0,0.350333,0,0.0006
0,0.249674,0,0.0006
1,0.186353,0,0.0006
0,0.136482,0,0.0005
0,0.203117,0,0.0006
1,0.059829,0,0.0006
1,0.034944,0,0.0006
0,0.125364,0,0.0005
1,0.098914,0,0.0005
0,0.134996,0,0.0005
1,0.163429,0,0.0005
1,0.209501,0,0.0005
0,0.107859,0,0.0006
1,0.086114,0,0.0005
1,0.126505,0,0.0006
1,0.355039,0,0.0005
1,0.309716,0,0.0005
0,0.207926,0,0.0005
1,0.375847,0,0.0006
0,0.178343,0,0.0006
1,0.092762,0,0.0006
1,0.400931,0,0.0006
0,0.389359,0,0.0006
1,0.695242,1,0.0005
1,0.627512,1,0.0006
0,0.527999,1,0.0006
1,0.252659,0,0.0005
1,0.175473,0,0.0005
0,0.523178,1,0.0006
0,0.64065,1,0.0006
