true_label,prob,pred,inference_time_ms
0,0.987668,1,0.0007
1,0.976508,1,0.0006
0,0.988384,1,0.0006
0,0.998638,1,0.0006
0,0.999188,1,0.0006
1,0.998114,1,0.0006
1,0.995814,1,0.0006
1,0.997076,1,0.0006
1,0.996594,1,0.0006
1,0.997783,1,0.0006
0,0.965972,1,0.0006
0,0.985692,1,0.0006
0,0.977733,1,0.0007
0,0.99303,1,0.0006
0,0.995902,1,0.0006
0,0.997782,1,0.0006
0,0.995923,1,0.0006
0,0.997696,1,0.0006
0,0.99873,1,0.0006
0,0.997534,1,0.0006
0,0.985048,1,0.0006
0,0.996178,1,0.0006
0,0.996621,1,0.0006
0,0.995303,1,0.0006
0,0.99628,1,0.0006
0,0.998007,1,0.0006
0,0.996604,1,0.0006
0,0.995297,1,0.0006
0,0.997295,1,0.0006
0,0.996597,1,0.0006
1,0.998083,1,0.0006
1,0.998105,1,0.0006
1,0.998622,1,0.0006
1,0.997681,1,0.0006
0,0.995058,1,0.0006
0,0.99326,1,0.0006
0,0.993922,1,0.0007
0,0.993765,1,0.0006
0,0.997444,1,0.0006
